,가
0,가까스로
1,가령
2,각
3,각각
4,각자
5,각종
6,갖고말하자면
7,같다
8,같이
9,개의치않고
10,거니와
11,거바
12,거의
13,것
14,것과 같이
15,것들
16,게다가
17,게우다
18,겨우
19,견지에서
20,결과에 이르다
21,결국
22,결론을 낼 수 있다
23,겸사겸사
24,고려하면
25,고로
26,곧
27,공동으로
28,과
29,과연
30,관계가 있다
31,관계없이
32,관련이 있다
33,관하여
34,관한
35,관해서는
36,구
37,구체적으로
38,구토하다
39,그
40,그들
41,그때
42,그래
43,그래도
44,그래서
45,그러나
46,그러니
47,그러니까
48,그러면
49,그러므로
50,그러한즉
51,그런 까닭에
52,그런데
53,그런즉
54,그럼
55,그럼에도 불구하고
56,그렇게 함으로써
57,그렇지
58,그렇지 않다면
59,그렇지 않으면
60,그렇지만
61,그렇지않으면
62,그리고
63,그리하여
64,그만이다
65,그에 따르는
66,그위에
67,그저
68,그중에서
69,그치지 않다
70,근거로
71,근거하여
72,기대여
73,기점으로
74,기준으로
75,기타
76,까닭으로
77,까악
78,까지
79,까지 미치다
80,까지도
81,꽈당
82,끙끙
83,끼익
84,나
85,나머지는
86,남들
87,남짓
88,너
89,너희
90,너희들
91,네
92,넷
93,년
94,논하지 않다
95,놀라다
96,누가 알겠는가
97,누구
98,다른
99,다른 방면으로
100,다만
101,다섯
102,다소
103,다수
104,다시 말하자면
105,다시말하면
106,다음
107,다음에
108,다음으로
109,단지
110,답다
111,당신
112,당장
113,대로 하다
114,대하면
115,대하여
116,대해 말하자면
117,대해서
118,댕그
119,더구나
120,더군다나
121,더라도
122,더불어
123,더욱더
124,더욱이는
125,도달하다
126,도착하다
127,동시에
128,동안
129,된바에야
130,된이상
131,두번째로
132,둘
133,둥둥
134,뒤따라
135,뒤이어
136,든간에
137,들
138,등
139,등등
140,딩동
141,따라
142,따라서
143,따위
144,따지지 않다
145,딱
146,때
147,때가 되어
148,때문에
149,또
150,또한
151,뚝뚝
152,라 해도
153,령
154,로
155,로 인하여
156,로부터
157,로써
158,륙
159,를
160,마음대로
161,마저
162,마저도
163,마치
164,막론하고
165,만 못하다
166,만약
167,만약에
168,만은 아니다
169,만이 아니다
170,만일
171,만큼
172,말하자면
173,말할것도 없고
174,매
175,매번
176,메쓰겁다
177,몇
178,모
179,모두
180,무렵
181,무릎쓰고
182,무슨
183,무엇
184,무엇때문에
185,물론
186,및
187,바꾸어말하면
188,바꾸어말하자면
189,바꾸어서 말하면
190,바꾸어서 한다면
191,바꿔 말하면
192,바로
193,바와같이
194,밖에 안된다
195,반대로
196,반대로 말하자면
197,반드시
198,버금
199,보는데서
200,보다더
201,보드득
202,본대로
203,봐
204,봐라
205,부류의 사람들
206,부터
207,불구하고
208,불문하고
209,붕붕
210,비걱거리다
211,비교적
212,비길수 없다
213,비로소
214,비록
215,비슷하다
216,비추어 보아
217,비하면
218,뿐만 아니라
219,뿐만아니라
220,뿐이다
221,삐걱
222,삐걱거리다
223,사
224,삼
225,상대적으로 말하자면
226,생각한대로
227,설령
228,설마
229,설사
230,셋
231,소생
232,소인
233,솨
234,쉿
235,습니까
236,습니다
237,시각
238,시간
239,시작하여
240,시초에
241,시키다
242,실로
243,심지어
244,아
245,아니
246,아니나다를가
247,아니라면
248,아니면
249,아니었다면
250,아래윗
251,아무거나
252,아무도
253,아야
254,아울러
255,아이
256,아이고
257,아이구
258,아이야
259,아이쿠
260,아하
261,아홉
262,안 그러면
263,않기 위하여
264,않기 위해서
265,알 수 있다
266,알았어
267,앗
268,앞에서
269,앞의것
270,야
271,약간
272,양자
273,어
274,어기여차
275,어느
276,어느 년도
277,어느것
278,어느곳
279,어느때
280,어느쪽
281,어느해
282,어디
283,어때
284,어떠한
285,어떤
286,어떤것
287,어떤것들
288,어떻게
289,어떻해
290,어이
291,어째서
292,어쨋든
293,어쩔수 없다
294,어찌
295,어찌됏든
296,어찌됏어
297,어찌하든지
298,어찌하여
299,언제
300,언젠가
301,얼마
302,얼마 안 되는 것
303,얼마간
304,얼마나
305,얼마든지
306,얼마만큼
307,얼마큼
308,엉엉
309,에
310,에 가서
311,에 달려 있다
312,에 대해
313,에 있다
314,에 한하다
315,에게
316,에서
317,여
318,여기
319,여덟
320,여러분
321,여보시오
322,여부
323,여섯
324,여전히
325,여차
326,연관되다
327,연이서
328,영
329,영차
330,옆사람
331,예
332,예를 들면
333,예를 들자면
334,예컨대
335,예하면
336,오
337,오로지
338,오르다
339,오자마자
340,오직
341,오호
342,오히려
343,와
344,와 같은 사람들
345,와르르
346,와아
347,왜
348,왜냐하면
349,외에도
350,요만큼
351,요만한 것
352,요만한걸
353,요컨대
354,우르르
355,우리
356,우리들
357,우선
358,우에 종합한것과같이
359,운운
360,월
361,위에서 서술한바와같이
362,위하여
363,위해서
364,윙윙
365,육
366,으로
367,으로 인하여
368,으로서
369,으로써
370,을
371,응
372,응당
373,의
374,의거하여
375,의지하여
376,의해
377,의해되다
378,의해서
379,이
380,이 되다
381,이 때문에
382,이 밖에
383,이 외에
384,이 정도의
385,이것
386,이곳
387,이때
388,이라면
389,이래
390,이러이러하다
391,이러한
392,이런
393,이럴정도로
394,이렇게 많은 것
395,이렇게되면
396,이렇게말하자면
397,이렇구나
398,이로 인하여
399,이르기까지
400,이리하여
401,이만큼
402,이번
403,이봐
404,이상
405,이어서
406,이었다
407,이와 같다
408,이와 같은
409,이와 반대로
410,이와같다면
411,이외에도
412,이용하여
413,이유만으로
414,이젠
415,이지만
416,이쪽
417,이천구
418,이천육
419,이천칠
420,이천팔
421,인 듯하다
422,인젠
423,일
424,일것이다
425,일곱
426,일단
427,일때
428,일반적으로
429,일지라도
430,임에 틀림없다
431,입각하여
432,입장에서
433,잇따라
434,있다
435,자
436,자기
437,자기집
438,자마자
439,자신
440,잠깐
441,잠시
442,저
443,저것
444,저것만큼
445,저기
446,저쪽
447,저희
448,전부
449,전자
450,전후
451,점에서 보아
452,정도에 이르다
453,제
454,제각기
455,제외하고
456,조금
457,조차
458,조차도
459,졸졸
460,좀
461,좋아
462,좍좍
463,주룩주룩
464,주저하지 않고
465,줄은 몰랏다
466,줄은모른다
467,중에서
468,중의하나
469,즈음하여
470,즉
471,즉시
472,지든지
473,지만
474,지말고
475,진짜로
476,쪽으로
477,차라리
478,참
479,참나
480,첫번째로
481,쳇
482,총적으로
483,총적으로 말하면
484,총적으로 보면
485,칠
486,콸콸
487,쾅쾅
488,쿵
489,타다
490,타인
491,탕탕
492,토하다
493,통하여
494,툭
495,퉤
496,틈타
497,팍
498,팔
499,퍽
500,펄렁
501,하
502,하게될것이다
503,하게하다
504,하겠는가
505,하고 있다
506,하고있었다
507,하곤하였다
508,하구나
509,하기 때문에
510,하기 위하여
511,하기는한데
512,하기만 하면
513,하기보다는
514,하기에
515,하나
516,하느니
517,하는 김에
